gene	a	b
ACE	0.249302440773561	0.0176594069960543
ACE2	0.249302440773561	0.0176594069960543
ACER1	0.28814005341007	0.00914277495177951
ACER2	0.28814005341007	0.00914277495177951
ACER3	0.944710246349563	0.0296390152503892
ACHE	0.249302440773561	0.0176594069960543
ACIN1	0.249302440773561	0.0176594069960543
ACKR2	0.28814005341007	0.00914277495177951
ACKR3	0.28814005341007	0.00914277495177951
ACKR4	0.28814005341007	0.00914277495177951
ACLY	0.249302440773561	0.0176594069960543
ACMSD	0.944710246349563	0.0296390152503892
ACN9	0.28814005341007	0.00914277495177951
ACO1	0.249302440773561	0.0176594069960543
ACO2	0.249302440773561	0.0176594069960543
ACOT1	0.28814005341007	0.00914277495177951
ACOT11	0.249302440773561	0.0176594069960543
ACOT12	0.249302440773561	0.0176594069960543
ACOT13	0.28814005341007	0.00914277495177951
ACOT2	0.944710246349563	0.0296390152503892
ACOT4	0.28814005341007	0.00914277495177951
ACOT6	0.28814005341007	0.00914277495177951
ACOT7	0.944710246349563	0.0296390152503892
ACOT8	0.944710246349563	0.0296390152503892
ACOT9	0.249302440773561	0.0176594069960543
ACOX1	0.249302440773561	0.0176594069960543
ACOX2	0.249302440773561	0.0176594069960543
ACP1	0.28814005341007	0.00914277495177951
ACP2	0.944710246349563	0.0296390152503892
ACP5	0.28814005341007	0.00914277495177951
ACP6	0.944710246349563	0.0296390152503892
ACPL2	0.944710246349563	0.0296390152503892
ACPP	0.944710246349563	0.0296390152503892
ACPT	0.944710246349563	0.0296390152503892
ACR	0.944710246349563	0.0296390152503892
ACRBP	0.249302440773561	0.0176594069960543
ACRC	0.944710246349563	0.0296390152503892
ACRV1	0.28814005341007	0.00914277495177951
ACSBG1	0.249302440773561	0.0176594069960543
ACSF2	0.249302440773561	0.0176594069960543
ACSF3	0.944710246349563	0.0296390152503892
ACSL1	0.249302440773561	0.0176594069960543
ACSL3	0.249302440773561	0.0176594069960543
ACSL4	0.249302440773561	0.0176594069960543
ACSL5	0.249302440773561	0.0176594069960543
ACSL6	0.249302440773561	0.0176594069960543
ACSM1	0.249302440773561	0.0176594069960543
ACSM5	0.249302440773561	0.0176594069960543
ACSS1	0.249302440773561	0.0176594069960543
ACSS2	0.249302440773561	0.0176594069960543
ACSS3	0.249302440773561	0.0176594069960543
ACTA1	0.944710246349563	0.0296390152503892
ACTA2	0.944710246349563	0.0296390152503892
ACTC1	0.28814005341007	0.00914277495177951
ACTG1	0.944710246349563	0.0296390152503892
ACTG2	0.944710246349563	0.0296390152503892
ACTL6A	0.944710246349563	0.0296390152503892
ACTL6B	0.249302440773561	0.0176594069960543
ACTL8	0.28814005341007	0.00914277495177951
ACTN1	0.249302440773561	0.0176594069960543
ACTN2	0.249302440773561	0.0176594069960543
ACTN4	0.249302440773561	0.0176594069960543
ACTR10	0.944710246349563	0.0296390152503892
ACTR1A	0.249302440773561	0.0176594069960543
ACTR1B	0.944710246349563	0.0296390152503892
ACTR3B	0.944710246349563	0.0296390152503892
ACTR5	0.944710246349563	0.0296390152503892
ACTR6	0.944710246349563	0.0296390152503892
ACTR8	0.249302440773561	0.0176594069960543
ACTRT3	0.28814005341007	0.00914277495177951
ACVR1	0.944710246349563	0.0296390152503892
ACVR1C	0.249302440773561	0.0176594069960543
ACVR2A	0.944710246349563	0.0296390152503892
ACVR2B	0.944710246349563	0.0296390152503892
ACVRL1	0.944710246349563	0.0296390152503892
ACY3	0.28814005341007	0.00914277495177951
ACYP1	0.28814005341007	0.00914277495177951
ACYP2	0.28814005341007	0.00914277495177951
ADA	0.944710246349563	0.0296390152503892
ADAD1	0.944710246349563	0.0296390152503892
ADAD2	0.944710246349563	0.0296390152503892
ADAL	0.28814005341007	0.00914277495177951
ADAM10	0.249302440773561	0.0176594069960543
ADAM11	0.249302440773561	0.0176594069960543
ADAM12	0.249302440773561	0.0176594069960543
ADAM15	0.249302440773561	0.0176594069960543
ADAM17	0.249302440773561	0.0176594069960543
ADAM19	0.249302440773561	0.0176594069960543
ADAM22	0.249302440773561	0.0176594069960543
ADAM23	0.249302440773561	0.0176594069960543
ADAM28	0.249302440773561	0.0176594069960543
ADAM32	0.249302440773561	0.0176594069960543
ADAM33	0.249302440773561	0.0176594069960543
ADAM7	0.249302440773561	0.0176594069960543
ADAM9	0.249302440773561	0.0176594069960543
ADAMDEC1	0.944710246349563	0.0296390152503892
ADAMTS1	0.249302440773561	0.0176594069960543
ADAMTS10	0.249302440773561	0.0176594069960543
ADAMTS12	0.249302440773561	0.0176594069960543
ADAMTS13	0.249302440773561	0.0176594069960543
ADAMTS14	0.249302440773561	0.0176594069960543
ADAMTS15	0.249302440773561	0.0176594069960543
ADAMTS16	0.249302440773561	0.0176594069960543
ADAMTS17	0.249302440773561	0.0176594069960543
ADAMTS18	0.249302440773561	0.0176594069960543
ADAMTS19	0.249302440773561	0.0176594069960543
ADAMTS2	0.249302440773561	0.0176594069960543
ADAMTS3	0.249302440773561	0.0176594069960543
ADAMTS4	0.249302440773561	0.0176594069960543
ADAMTS5	0.249302440773561	0.0176594069960543
ADAMTS6	0.249302440773561	0.0176594069960543
ADAMTS7	0.249302440773561	0.0176594069960543
ADAMTS8	0.249302440773561	0.0176594069960543
ADAMTS9	0.249302440773561	0.0176594069960543
ADAMTSL1	0.249302440773561	0.0176594069960543
ADAMTSL2	0.249302440773561	0.0176594069960543
ADAMTSL3	0.249302440773561	0.0176594069960543
ADAMTSL4	0.249302440773561	0.0176594069960543
ADAMTSL5	0.249302440773561	0.0176594069960543
ADAP1	0.944710246349563	0.0296390152503892
ADAP2	0.944710246349563	0.0296390152503892
ADAR	0.249302440773561	0.0176594069960543
ADARB1	0.944710246349563	0.0296390152503892
ADARB2	0.249302440773561	0.0176594069960543
ADAT1	0.944710246349563	0.0296390152503892
ADAT2	0.28814005341007	0.00914277495177951
ADC	0.944710246349563	0.0296390152503892
ADCK1	0.944710246349563	0.0296390152503892
ADCK3	0.249302440773561	0.0176594069960543
ADCK4	0.249302440773561	0.0176594069960543
ADCK5	0.249302440773561	0.0176594069960543
ADCY1	0.249302440773561	0.0176594069960543
ADCY10	0.249302440773561	0.0176594069960543
ADCY2	0.249302440773561	0.0176594069960543
ADCY3	0.249302440773561	0.0176594069960543
ADCY5	0.249302440773561	0.0176594069960543
ADCY6	0.249302440773561	0.0176594069960543
ADCY7	0.249302440773561	0.0176594069960543
ADCY8	0.249302440773561	0.0176594069960543
ADCY9	0.249302440773561	0.0176594069960543
ADCYAP1	0.28814005341007	0.00914277495177951
ADCYAP1R1	0.249302440773561	0.0176594069960543
ADD1	0.249302440773561	0.0176594069960543
ADD2	0.249302440773561	0.0176594069960543
ADD3	0.249302440773561	0.0176594069960543
ADH1A	0.28814005341007	0.00914277495177951
ADH1B	0.28814005341007	0.00914277495177951
ADH4	0.28814005341007	0.00914277495177951
ADH5	0.944710246349563	0.0296390152503892
ADH6	0.28814005341007	0.00914277495177951
ADH7	0.28814005341007	0.00914277495177951
ADHFE1	0.944710246349563	0.0296390152503892
ADI1	0.28814005341007	0.00914277495177951
ADIPOQ	0.28814005341007	0.00914277495177951
ADIPOR1	0.944710246349563	0.0296390152503892
ADIPOR2	0.944710246349563	0.0296390152503892
ADK	0.944710246349563	0.0296390152503892
ADM	0.28814005341007	0.00914277495177951
ADNP	0.249302440773561	0.0176594069960543
ADNP2	0.249302440773561	0.0176594069960543
ADORA1	0.28814005341007	0.00914277495177951
ADORA2A	0.28814005341007	0.00914277495177951
ADORA2B	0.28814005341007	0.00914277495177951
ADORA3	0.28814005341007	0.00914277495177951
ADPGK	0.944710246349563	0.0296390152503892
ADPRHL2	0.28814005341007	0.00914277495177951
ADPRM	0.28814005341007	0.00914277495177951
ADRA1A	0.28814005341007	0.00914277495177951
ADRA1B	0.28814005341007	0.00914277495177951
ADRBK1	0.249302440773561	0.0176594069960543
ADRBK2	0.249302440773561	0.0176594069960543
ADSL	0.249302440773561	0.0176594069960543
ADSS	0.944710246349563	0.0296390152503892
ADSSL1	0.944710246349563	0.0296390152503892
AEBP1	0.249302440773561	0.0176594069960543
AEN	0.28814005341007	0.00914277495177951
AFAP1	0.249302440773561	0.0176594069960543
AFAP1L1	0.249302440773561	0.0176594069960543
AFAP1L2	0.249302440773561	0.0176594069960543
AFF1	0.249302440773561	0.0176594069960543
AFF2	0.249302440773561	0.0176594069960543
AFF3	0.249302440773561	0.0176594069960543
AFF4	0.249302440773561	0.0176594069960543
AFG3L2	0.249302440773561	0.0176594069960543
AGA	0.944710246349563	0.0296390152503892
AGAP1	0.249302440773561	0.0176594069960543
AGAP2	0.249302440773561	0.0176594069960543
AGAP3	0.249302440773561	0.0176594069960543
AGBL2	0.249302440773561	0.0176594069960543
AGBL5	0.249302440773561	0.0176594069960543
AGER	0.944710246349563	0.0296390152503892
AGFG1	0.944710246349563	0.0296390152503892
AGFG2	0.944710246349563	0.0296390152503892
AGGF1	0.249302440773561	0.0176594069960543
AGK	0.249302440773561	0.0176594069960543
AGMAT	0.28814005341007	0.00914277495177951
AGMO	0.944710246349563	0.0296390152503892
AGO2	0.249302440773561	0.0176594069960543
AGO3	0.249302440773561	0.0176594069960543
AGO4	0.249302440773561	0.0176594069960543
AGPAT1	0.944710246349563	0.0296390152503892
AGPAT2	0.28814005341007	0.00914277495177951
AGPAT4	0.944710246349563	0.0296390152503892
AGPAT5	0.944710246349563	0.0296390152503892
AGPAT6	0.944710246349563	0.0296390152503892
AGPAT9	0.249302440773561	0.0176594069960543
AGPS	0.249302440773561	0.0176594069960543
AGR2	0.28814005341007	0.00914277495177951
AGRN	0.249302440773561	0.0176594069960543
AGRP	0.28814005341007	0.00914277495177951
AGT	0.28814005341007	0.00914277495177951
AGTPBP1	0.249302440773561	0.0176594069960543
AGTR1	0.28814005341007	0.00914277495177951
AGTR2	0.28814005341007	0.00914277495177951
AGTRAP	0.28814005341007	0.00914277495177951
AGXT	0.944710246349563	0.0296390152503892
AHCY	0.944710246349563	0.0296390152503892
AHCYL1	0.249302440773561	0.0176594069960543
AHCYL2	0.249302440773561	0.0176594069960543
AHI1	0.249302440773561	0.0176594069960543
AHNAK	0.249302440773561	0.0176594069960543
AHR	0.249302440773561	0.0176594069960543
AHRR	0.249302440773561	0.0176594069960543
AHSA2	0.28814005341007	0.00914277495177951
AHSG	0.28814005341007	0.00914277495177951
AHSP	0.28814005341007	0.00914277495177951
AICDA	0.944710246349563	0.0296390152503892
AIDA	0.944710246349563	0.0296390152503892
AIF1	0.28814005341007	0.00914277495177951
AIF1L	0.28814005341007	0.00914277495177951
AIFM1	0.249302440773561	0.0176594069960543
AIFM2	0.944710246349563	0.0296390152503892
AIFM3	0.249302440773561	0.0176594069960543
AIG1	0.28814005341007	0.00914277495177951
AIM1L	0.249302440773561	0.0176594069960543
AIM2	0.28814005341007	0.00914277495177951
AIMP1	0.944710246349563	0.0296390152503892
AIMP2	0.28814005341007	0.00914277495177951
AIP	0.944710246349563	0.0296390152503892
AIPL1	0.944710246349563	0.0296390152503892
AJUBA	0.249302440773561	0.0176594069960543
AK1	0.28814005341007	0.00914277495177951
AK2	0.28814005341007	0.00914277495177951
AK3	0.28814005341007	0.00914277495177951
AK4	0.28814005341007	0.00914277495177951
AK5	0.249302440773561	0.0176594069960543
AK7	0.249302440773561	0.0176594069960543
AK8	0.944710246349563	0.0296390152503892
AK9	0.249302440773561	0.0176594069960543
AKAP1	0.249302440773561	0.0176594069960543
AKAP10	0.249302440773561	0.0176594069960543
AKAP11	0.249302440773561	0.0176594069960543
AKAP12	0.249302440773561	0.0176594069960543
AKAP13	0.249302440773561	0.0176594069960543
AKAP14	0.28814005341007	0.00914277495177951
AKAP17A	0.944710246349563	0.0296390152503892
AKAP3	0.944710246349563	0.0296390152503892
AKAP4	0.944710246349563	0.0296390152503892
AKAP5	0.28814005341007	0.00914277495177951
AKAP6	0.249302440773561	0.0176594069960543
AKAP7	0.944710246349563	0.0296390152503892
AKAP8	0.249302440773561	0.0176594069960543
AKAP8L	0.249302440773561	0.0176594069960543
AKIP1	0.28814005341007	0.00914277495177951
AKIRIN1	0.28814005341007	0.00914277495177951
AKIRIN2	0.944710246349563	0.0296390152503892
AKNA	0.249302440773561	0.0176594069960543
AKR1A1	0.944710246349563	0.0296390152503892
AKR1B1	0.944710246349563	0.0296390152503892
AKR1B10	0.944710246349563	0.0296390152503892
AKR1B15	0.944710246349563	0.0296390152503892
AKR1C1	0.944710246349563	0.0296390152503892
AKR1C2	0.944710246349563	0.0296390152503892
AKR1C4	0.944710246349563	0.0296390152503892
AKR1D1	0.944710246349563	0.0296390152503892
AKR1E2	0.944710246349563	0.0296390152503892
AKR7A2	0.28814005341007	0.00914277495177951
AKR7A3	0.944710246349563	0.0296390152503892
AKR7L	0.28814005341007	0.00914277495177951
AKT1	0.249302440773561	0.0176594069960543
AKT1S1	0.28814005341007	0.00914277495177951
AKT2	0.944710246349563	0.0296390152503892
AKT3	0.249302440773561	0.0176594069960543
AKTIP	0.944710246349563	0.0296390152503892
AL163636.6	0.28814005341007	0.00914277495177951
ALAD	0.944710246349563	0.0296390152503892
ALAS1	0.249302440773561	0.0176594069960543
ALB	0.249302440773561	0.0176594069960543
ALCAM	0.944710246349563	0.0296390152503892
ALDH16A1	0.249302440773561	0.0176594069960543
ALDH18A1	0.249302440773561	0.0176594069960543
ALDH1A1	0.944710246349563	0.0296390152503892
ALDH1A2	0.944710246349563	0.0296390152503892
ALDH1A3	0.944710246349563	0.0296390152503892
ALDH1L1	0.249302440773561	0.0176594069960543
ALDH2	0.944710246349563	0.0296390152503892
ALDH3A1	0.944710246349563	0.0296390152503892
ALDH3A2	0.944710246349563	0.0296390152503892
ALDH3B1	0.944710246349563	0.0296390152503892
ALDH4A1	0.249302440773561	0.0176594069960543
ALDH5A1	0.944710246349563	0.0296390152503892
ALDH6A1	0.249302440773561	0.0176594069960543
ALDH7A1	0.249302440773561	0.0176594069960543
ALDH8A1	0.944710246349563	0.0296390152503892
ALDH9A1	0.944710246349563	0.0296390152503892
ALDOA	0.944710246349563	0.0296390152503892
ALDOB	0.944710246349563	0.0296390152503892
ALDOC	0.944710246349563	0.0296390152503892
ALG1	0.944710246349563	0.0296390152503892
ALG10	0.944710246349563	0.0296390152503892
ALG10B	0.944710246349563	0.0296390152503892
ALG11	0.28814005341007	0.00914277495177951
ALG12	0.944710246349563	0.0296390152503892
ALG13	0.249302440773561	0.0176594069960543
ALG14	0.28814005341007	0.00914277495177951
ALG1L	0.28814005341007	0.00914277495177951
ALG2	0.944710246349563	0.0296390152503892
ALG3	0.944710246349563	0.0296390152503892
ALG5	0.249302440773561	0.0176594069960543
ALG6	0.944710246349563	0.0296390152503892
ALG8	0.249302440773561	0.0176594069960543
ALG9	0.944710246349563	0.0296390152503892
ALK	0.249302440773561	0.0176594069960543
ALKBH1	0.944710246349563	0.0296390152503892
ALKBH2	0.28814005341007	0.00914277495177951
ALKBH4	0.28814005341007	0.00914277495177951
ALKBH5	0.28814005341007	0.00914277495177951
ALKBH6	0.28814005341007	0.00914277495177951
ALKBH7	0.28814005341007	0.00914277495177951
ALKBH8	0.249302440773561	0.0176594069960543
ALMS1	0.249302440773561	0.0176594069960543
ALOX12	0.249302440773561	0.0176594069960543
ALOX12B	0.249302440773561	0.0176594069960543
ALOX15	0.249302440773561	0.0176594069960543
ALOX5	0.249302440773561	0.0176594069960543
ALOX5AP	0.28814005341007	0.00914277495177951
ALOXE3	0.249302440773561	0.0176594069960543
ALPK2	0.249302440773561	0.0176594069960543
ALPL	0.944710246349563	0.0296390152503892
ALPP	0.249302440773561	0.0176594069960543
ALPPL2	0.944710246349563	0.0296390152503892
ALS2CR12	0.944710246349563	0.0296390152503892
ALX1	0.944710246349563	0.0296390152503892
ALX3	0.28814005341007	0.00914277495177951
ALX4	0.944710246349563	0.0296390152503892
AMACR	0.28814005341007	0.00914277495177951
AMBN	0.944710246349563	0.0296390152503892
AMBP	0.944710246349563	0.0296390152503892
AMBRA1	0.249302440773561	0.0176594069960543
AMD1	0.28814005341007	0.00914277495177951
AMDHD1	0.944710246349563	0.0296390152503892
AMDHD2	0.944710246349563	0.0296390152503892
AMELX	0.28814005341007	0.00914277495177951
AMER1	0.249302440773561	0.0176594069960543
AMER3	0.249302440773561	0.0176594069960543
AMFR	0.249302440773561	0.0176594069960543
AMH	0.249302440773561	0.0176594069960543
AMHR2	0.249302440773561	0.0176594069960543
AMIGO2	0.28814005341007	0.00914277495177951
AMIGO3	0.28814005341007	0.00914277495177951
AMMECR1	0.944710246349563	0.0296390152503892
AMMECR1L	0.944710246349563	0.0296390152503892
AMN	0.28814005341007	0.00914277495177951
AMN1	0.28814005341007	0.00914277495177951
AMOT	0.249302440773561	0.0176594069960543
AMOTL1	0.249302440773561	0.0176594069960543
AMOTL2	0.249302440773561	0.0176594069960543
AMPD2	0.249302440773561	0.0176594069960543
AMPD3	0.249302440773561	0.0176594069960543
AMPH	0.249302440773561	0.0176594069960543
AMT	0.944710246349563	0.0296390152503892
AMTN	0.28814005341007	0.00914277495177951
AMY2B	0.249302440773561	0.0176594069960543
AMZ1	0.944710246349563	0.0296390152503892
AMZ2	0.944710246349563	0.0296390152503892
ANAPC10	0.28814005341007	0.00914277495177951
ANAPC13	0.28814005341007	0.00914277495177951
ANAPC15	0.28814005341007	0.00914277495177951
ANAPC16	0.28814005341007	0.00914277495177951
ANAPC2	0.249302440773561	0.0176594069960543
ANAPC4	0.249302440773561	0.0176594069960543
ANAPC5	0.249302440773561	0.0176594069960543
ANAPC7	0.249302440773561	0.0176594069960543
ANGEL2	0.249302440773561	0.0176594069960543
ANGPT1	0.944710246349563	0.0296390152503892
ANGPT2	0.944710246349563	0.0296390152503892
ANGPT4	0.944710246349563	0.0296390152503892
ANGPTL1	0.944710246349563	0.0296390152503892
ANGPTL2	0.944710246349563	0.0296390152503892
ANGPTL3	0.944710246349563	0.0296390152503892
ANGPTL4	0.944710246349563	0.0296390152503892
ANGPTL5	0.944710246349563	0.0296390152503892
ANGPTL7	0.944710246349563	0.0296390152503892
ANK1	0.249302440773561	0.0176594069960543
ANK2	0.249302440773561	0.0176594069960543
ANK3	0.249302440773561	0.0176594069960543
ANKDD1A	0.249302440773561	0.0176594069960543
ANKEF1	0.249302440773561	0.0176594069960543
ANKFN1	0.249302440773561	0.0176594069960543
ANKFY1	0.249302440773561	0.0176594069960543
ANKH	0.944710246349563	0.0296390152503892
ANKIB1	0.249302440773561	0.0176594069960543
ANKLE1	0.249302440773561	0.0176594069960543
ANKLE2	0.249302440773561	0.0176594069960543
ANKMY2	0.944710246349563	0.0296390152503892
ANKRA2	0.944710246349563	0.0296390152503892
ANKRD1	0.944710246349563	0.0296390152503892
ANKRD10	0.28814005341007	0.00914277495177951
ANKRD11	0.249302440773561	0.0176594069960543
ANKRD12	0.249302440773561	0.0176594069960543
ANKRD13A	0.249302440773561	0.0176594069960543
ANKRD13B	0.249302440773561	0.0176594069960543
ANKRD13C	0.249302440773561	0.0176594069960543
ANKRD13D	0.249302440773561	0.0176594069960543
ANKRD16	0.944710246349563	0.0296390152503892
ANKRD17	0.249302440773561	0.0176594069960543
ANKRD2	0.944710246349563	0.0296390152503892
ANKRD22	0.28814005341007	0.00914277495177951
ANKRD23	0.944710246349563	0.0296390152503892
ANKRD26	0.249302440773561	0.0176594069960543
ANKRD27	0.249302440773561	0.0176594069960543
ANKRD28	0.249302440773561	0.0176594069960543
ANKRD29	0.944710246349563	0.0296390152503892
ANKRD32	0.249302440773561	0.0176594069960543
ANKRD33	0.944710246349563	0.0296390152503892
ANKRD34B	0.28814005341007	0.00914277495177951
ANKRD37	0.28814005341007	0.00914277495177951
ANKRD39	0.28814005341007	0.00914277495177951
ANKRD40	0.944710246349563	0.0296390152503892
ANKRD42	0.944710246349563	0.0296390152503892
ANKRD44	0.944710246349563	0.0296390152503892
ANKRD45	0.28814005341007	0.00914277495177951
ANKRD46	0.28814005341007	0.00914277495177951
ANKRD49	0.28814005341007	0.00914277495177951
ANKRD50	0.249302440773561	0.0176594069960543
ANKRD52	0.249302440773561	0.0176594069960543
ANKRD53	0.944710246349563	0.0296390152503892
ANKRD54	0.944710246349563	0.0296390152503892
ANKRD55	0.249302440773561	0.0176594069960543
ANKRD6	0.249302440773561	0.0176594069960543
ANKRD7	0.28814005341007	0.00914277495177951
ANKS1A	0.249302440773561	0.0176594069960543
ANKS1B	0.249302440773561	0.0176594069960543
ANKS3	0.249302440773561	0.0176594069960543
ANKS4B	0.28814005341007	0.00914277495177951
ANKS6	0.249302440773561	0.0176594069960543
ANKZF1	0.249302440773561	0.0176594069960543
ANLN	0.249302440773561	0.0176594069960543
ANO1	0.249302440773561	0.0176594069960543
ANO10	0.944710246349563	0.0296390152503892
ANO3	0.249302440773561	0.0176594069960543
ANO4	0.249302440773561	0.0176594069960543
ANO5	0.249302440773561	0.0176594069960543
ANO6	0.249302440773561	0.0176594069960543
ANO8	0.249302440773561	0.0176594069960543
ANO9	0.249302440773561	0.0176594069960543
ANP32E	0.944710246349563	0.0296390152503892
ANPEP	0.249302440773561	0.0176594069960543
ANTXR1	0.249302440773561	0.0176594069960543
ANTXR2	0.249302440773561	0.0176594069960543
ANXA1	0.944710246349563	0.0296390152503892
ANXA10	0.249302440773561	0.0176594069960543
ANXA11	0.249302440773561	0.0176594069960543
ANXA13	0.944710246349563	0.0296390152503892
ANXA2	0.944710246349563	0.0296390152503892
ANXA3	0.944710246349563	0.0296390152503892
ANXA4	0.944710246349563	0.0296390152503892
ANXA5	0.944710246349563	0.0296390152503892
ANXA6	0.249302440773561	0.0176594069960543
ANXA7	0.249302440773561	0.0176594069960543
ANXA9	0.944710246349563	0.0296390152503892
AOC1	0.944710246349563	0.0296390152503892
AOC3	0.249302440773561	0.0176594069960543
AP1AR	0.944710246349563	0.0296390152503892
AP1B1	0.249302440773561	0.0176594069960543
AP1G1	0.249302440773561	0.0176594069960543
AP1M1	0.249302440773561	0.0176594069960543
AP1M2	0.944710246349563	0.0296390152503892
AP1S1	0.28814005341007	0.00914277495177951
AP1S3	0.28814005341007	0.00914277495177951
AP2A1	0.249302440773561	0.0176594069960543
AP2A2	0.249302440773561	0.0176594069960543
AP2B1	0.249302440773561	0.0176594069960543
AP2M1	0.944710246349563	0.0296390152503892
AP2S1	0.28814005341007	0.00914277495177951
AP3B1	0.249302440773561	0.0176594069960543
AP3B2	0.249302440773561	0.0176594069960543
AP3D1	0.249302440773561	0.0176594069960543
AP3M1	0.944710246349563	0.0296390152503892
AP3M2	0.944710246349563	0.0296390152503892
AP3S1	0.28814005341007	0.00914277495177951
AP4B1	0.249302440773561	0.0176594069960543
